Name,First Places,Second Places,Third Places,PolesPositions,WorldChampionships,Country,Score,NormalizedScore
Marquez Alex,12,16.0,12.0,15.0,2.0,ES,126.5,0.15842204132748905
Poggiali Manuel,12,10.0,13.0,11.0,2.0,SM,109.5,0.13713212273011896
Mir Joan,12,10.0,11.0,2.0,2.0,ES,94.0,0.11772072636192861
Pasini Mattia,12,8.0,10.0,19.0,0.0,IT,102.5,0.12836568566061365
Anderson Fergus,12,5.0,7.0,0.0,2.0,GB,77.0,0.09643080776455855
Sakata Kazuto,11,23.0,7.0,29.0,2.0,JP,152.5,0.19098309329993737
Katayama Takazumi,11,11.0,13.0,5.0,1.0,JP,92.5,0.1158422041327489
Martin Jorge,11,10.0,12.0,27.0,1.0,ES,122.5,0.15341264871634314
Haas Werner,11,7.0,0.0,1.0,3.0,DE,77.5,0.09705698184095178
Morbidelli Franco,11,6.0,10.0,8.0,1.0,IT,84.0,0.10519724483406387
Simmonds Dave,11,6.0,5.0,0.0,1.0,GB,67.0,0.08390732623669381
Ui Youichi,11,6.0,5.0,17.0,0.0,JP,86.5,0.10832811521603006
Gould Rodney,10,16.0,8.0,0.0,1.0,GB,86.0,0.10770194113963683
Bryans Ralph,10,15.0,15.0,0.0,1.0,IE,91.0,0.11396368190356919
Hansford Greg,10,14.0,1.0,11.0,0.0,AU,85.5,0.10707576706324358
Quartararo Fabio,10,11.0,5.0,19.0,1.0,FR,101.5,0.12711333750782716
Barbera Hector,10,9.0,13.0,9.0,0.0,ES,84.5,0.1058234189104571
Azuma Masao,10,4.0,6.0,2.0,0.0,JP,57.0,0.07138384470882905
Fernandez Raul,10,3.0,3.0,13.0,0.0,ES,68.5,0.08578584846587352
Gibernau Sete,9,14.0,7.0,13.0,0.0,ES,90.5,0.11333750782717596
Gianola Ezio,9,13.0,8.0,12.0,0.0,IT,88.0,0.11020663744520977
Salom Luis,9,10.0,6.0,4.0,0.0,ES,68.0,0.08515967438948027
Aoyama Hiroshi,9,8.0,10.0,8.0,1.0,JP,80.0,0.10018785222291797
Talmacsi Gabor,9,8.0,9.0,11.0,1.0,HU,83.5,0.10457107075767064
Locatelli Roberto,9,7.0,9.0,18.0,1.0,IT,92.0,0.11521603005635567
Aoki Haruchika,9,6.0,5.0,6.0,2.0,JP,74.0,0.09267376330619913
Lowes Sam,9,5.0,10.0,17.0,0.0,GB,81.5,0.10206637445209768
Spaan Hans,9,5.0,7.0,9.0,0.0,NL,66.5,0.08328115216030056
Miller Jack,9,4.0,13.0,9.0,0.0,AU,70.5,0.08829054477144646
Lomas Bill,9,3.0,4.0,0.0,2.0,GB,58.0,0.07263619286161553
Reggiani Loris,8,14.0,19.0,5.0,0.0,IT,86.5,0.10832811521603006
Bastianini Enea,8,11.0,17.0,9.0,1.0,IT,90.5,0.11333750782717596
Simon Julian,8,11.0,7.0,10.0,1.0,ES,82.0,0.10269254852849093
Lansivuori Teuvo,8,10.0,9.0,12.0,0.0,FI,79.0,0.09893550407013149
Faubel Hector,8,7.0,11.0,3.0,0.0,ES,61.5,0.07701941139636818
Mortimer Chas,7,17.0,15.0,3.0,0.0,GB,81.5,0.10206637445209768
Jacque Olivier,7,15.0,13.0,17.0,1.0,FR,102.5,0.12836568566061365
Sarron Christian,7,13.0,17.0,11.0,1.0,FR,93.5,0.11709455228553538
Barros Alex,7,11.0,14.0,5.0,0.0,BR,71.5,0.08954289292423294
Cortese Sandro,7,10.0,12.0,10.0,1.0,DE,81.0,0.10144020037570445
Armstrong Reg,7,9.0,13.0,0.0,0.0,IE,59.0,0.07388854101440201
Van Kessel Henk,7,9.0,9.0,4.0,1.0,0,67.0,0.08390732623669381
Carruthers Kel,7,9.0,6.0,0.0,1.0,AU,58.0,0.07263619286161553
Bradl Stefan,7,8.0,4.0,8.0,1.0,DE,66.0,0.08265497808390733
Vincent Arnaud,7,8.0,4.0,4.0,1.0,FR,60.0,0.07514088916718847
Lorenzetti Enrico,7,7.0,7.0,0.0,1.0,IT,55.0,0.06887914840325611
Porto Sebastian,7,7.0,5.0,11.0,0.0,AR,63.5,0.07952410770194114
Cecchinello Lucio,7,7.0,5.0,4.0,0.0,IT,53.0,0.06637445209768315
Ekerold Jonnie,7,6.0,6.0,2.0,1.0,ZA,55.0,0.06887914840325611
Uncini Franco,7,5.0,9.0,8.0,1.0,IT,65.0,0.08140262993112085
Foggia Dennis,7,5.0,6.0,0.0,0.0,IT,44.0,0.055103318722604884
Pasolini Renzo,6,17.0,12.0,0.0,0.0,IT,70.0,0.08766437069505323
Okada Tadayuki,6,16.0,14.0,7.0,0.0,JP,80.5,0.1008140262993112
Canet Aron,6,10.0,8.0,7.0,0.0,ES,62.5,0.07827175954915466
Bezzecchi Marco,6,9.0,9.0,4.0,0.0,IT,57.0,0.07138384470882905
Masetti Umberto,6,9.0,6.0,0.0,2.0,IT,60.0,0.07514088916718847
Manako Tomomi,6,8.0,9.0,0.0,0.0,JP,49.0,0.061365059486537255
Gardner Remy,6,8.0,3.0,6.0,1.0,AU,58.0,0.07263619286161553
Nakano Shinya,6,7.0,8.0,5.0,0.0,JP,53.5,0.0670006261740764
Lucchinelli Marco,6,7.0,6.0,9.0,1.0,IT,63.5,0.07952410770194114
Garcia Sergio,6,7.0,0.0,2.0,0.0,ES,41.0,0.05134627426424546
Romboni Doriano,6,6.0,10.0,7.0,0.0,IT,56.5,0.07075767063243582
Phillis Tom,6,6.0,8.0,0.0,1.0,AU,50.0,0.06261740763932373
Amm Ray,6,6.0,4.0,0.0,0.0,0,40.0,0.050093926111458985
Marini Luca,6,6.0,3.0,5.0,0.0,IT,46.5,0.05823418910457107
Bertin Guy,6,5.0,1.0,8.0,0.0,FR,47.0,0.058860363180964305
Liberati Libero,6,4.0,4.0,0.0,1.0,IT,42.0,0.052598622417031934
Arenas Albert,6,2.0,2.0,0.0,1.0,ES,36.0,0.045084533500313086
Toersen Aalt,6,1.0,6.0,0.0,0.0,NL,32.0,0.040075140889167186
Acosta Pedro,6,1.0,1.0,1.0,1.0,ES,34.5,0.043206011271133375
